X,Y,Datetime,Lat,Lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
-1428262.576604533009231,-3759434.538170950952917,2016-01-04 08:40:00,-33.6574,116.4716,-9999,-9999,-9999,15, Low Possibility
-1482439.89880284294486,-3769317.620875138789415,2016-01-04 09:10:00,-33.6853,115.8752,56.5,-9999,-9999,14, Medium Possibility
-1457486.015173273859546,-3756519.304713406134397,2016-01-04 09:40:00,-33.5994,116.161,-9999,-9999,-9999,15, Low Possibility
-1446614.207640778040513,-3760015.59623430063948,2016-01-04 09:40:00,-33.6425,116.2733,-9999,-9999,-9999,15, Low Possibility
-1479619.084121180698276,-3766058.429953454528004,2016-01-04 10:20:00,-33.6595,115.91,-9999,-9999,-9999,15, Low Possibility
-1200439.86647565,-3745976.95400747,2016-01-05 00:00:00,-33.7655,118.9446,-9999,-9999,-9999,15, Low Possibility
-1198151.30385041,-3745630.35686711,2016-01-05 00:00:00,-33.7645,118.9697,-9999,-9999,-9999,15, Low Possibility
-1122449.16858738,-3761535.22219112,2016-01-05 00:00:00,-33.9734,119.7713,28.39,-9999,-9999,14, Medium Possibility
-1177583.28633149,-3742478.37577966,2016-01-05 00:30:00,-33.755,119.1953,-9999,-9999,-9999,15, Low Possibility
-1429428.81334321,-3795301.21610392,2016-01-05 00:50:00,-33.9753,116.4117,-9999,-9999,-9999,15, Low Possibility
-1466134.64748204,-3738973.69092256,2016-01-05 01:00:00,-33.4338,116.0916,-9999,-9999,-9999,15, Low Possibility
-1464319.29403162,-3798924.67892084,2016-01-05 01:20:00,-33.969,116.0302,-9999,-9999,-9999,15, Low Possibility
-1493228.49347776,-3722161.15607096,2016-01-05 01:30:00,-33.254,115.8237,-9999,-9999,-9999,15, Low Possibility
-1468623.19414197,-3725795.48634342,2016-01-05 01:30:00,-33.3139,116.0826,-9999,-9999,-9999,15, Low Possibility
-1130077.4193935,-3768128.86093083,2016-01-05 01:30:00,-34.0257,119.6818,23.43,-9999,-9999,15, Low Possibility
-1149933.75304836,-3782030.37275731,2016-01-05 01:30:00,-34.1325,119.4519,-9999,-9999,-9999,15, Low Possibility
-1224153.21044999,-3662884.81251052,2016-01-05 01:40:00,-33.0033,118.7817,-9999,-9999,-9999,15, Low Possibility
-1175040.68943205,-3785831.18056738,2016-01-05 01:50:00,-34.1441,119.1756,-9999,-9999,-9999,15, Low Possibility
-1172760.86298597,-3785478.54732308,2016-01-05 01:50:00,-34.143,119.2007,-9999,-9999,-9999,15, Low Possibility
-1437034.92661636,-3638911.12302019,2016-01-05 02:00:00,-32.5767,116.535,-9999,-9999,-9999,15, Low Possibility
-1444988.9648656,-3792624.10460876,2016-01-05 02:00:00,-33.9344,116.2473,-9999,-9999,-9999,15, Low Possibility
-1456161.91636772,-3645004.17552441,2016-01-05 02:10:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1168861.43840345,-3743880.34535578,2016-01-05 02:10:00,-33.7753,119.288,-9999,-9999,-9999,15, Low Possibility
-1488445.5350084,-3806163.3831883,2016-01-05 02:10:00,-34.0062,115.7599,-9999,-9999,-9999,12, Cloudy
-1112959.60587832,-3757424.37411114,2016-01-05 02:10:00,-33.9448,119.8783,-9999,-9999,-9999,15, Low Possibility
-1148059.29521616,-3784489.16016892,2016-01-05 02:10:00,-34.1561,119.4696,-9999,-9999,-9999,15, Low Possibility
-1493296.43058191,-3678741.18167072,2016-01-05 02:20:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1446867.17712923,-3732753.89784453,2016-01-05 02:20:00,-33.3998,116.3068,-9999,-9999,-9999,15, Low Possibility
-1213541.43115233,-3758934.48527858,2016-01-05 02:20:00,-33.869,118.7886,-9999,-9999,-9999,15, Low Possibility
-1272456.27541857,-3806750.31239903,2016-01-05 02:20:00,-34.2395,118.0957,-9999,-9999,-9999,15, Low Possibility
-1453998.77085486,-3660796.40436173,2016-01-05 02:30:00,-32.7526,116.3255,52.99,0.228669,400.7,10, Processed
-1493296.43058191,-3678741.18167072,2016-01-05 02:30:00,-32.8683,115.882,97.14,-9999,-9999,14, Medium Possibility
-1470982.39017215,-3726237.47715889,2016-01-05 02:30:00,-33.3152,116.0567,-9999,-9999,-9999,15, Low Possibility
