X,Y,Datetime,Latitude,Longitude,FRP(mw),Firesize(km2),temp(k),Category,Description
637960.277508809347637,-3257461.817631439305842,2015-12-19 06:10:00,-29.799,138.6774,-9999,-9999,-9999,15, Low Possibility
575188.635609248187393,-3282544.916309006046504,2015-12-19 06:10:00,-30.0503,138.0338,-9999,-9999,-9999,15, Low Possibility
657492.826234391075559,-3296480.834092138335109,2015-12-19 06:10:00,-30.1373,138.9035,-9999,-9999,-9999,15, Low Possibility
725755.689503084635362,-3307787.952320237644017,2015-12-19 06:10:00,-30.2034,139.6257,-9999,-9999,-9999,15, Low Possibility
792132.110538853448816,-3316935.280493283644319,2015-12-19 06:10:00,-30.2479,140.3275,-9999,-9999,-9999,15, Low Possibility
568882.11889678821899,-3312815.535756838042289,2015-12-19 06:10:00,-30.3227,137.9826,-9999,-9999,-9999,15, Low Possibility
581057.099031892954372,-3313324.882113437633961,2015-12-19 06:10:00,-30.3221,138.1107,15.52,0.00841,513.8,10, Processed
559824.971418185159564,-3325218.233264631126076,2015-12-19 06:10:00,-30.437,137.8935,-9999,-9999,-9999,12, Cloudy
719559.171873188228346,-3338070.331006623804569,2015-12-19 06:10:00,-30.4764,139.5796,-9999,-9999,-9999,15, Low Possibility
570680.376559374271892,-3343561.831052243709564,2015-12-19 06:10:00,-30.596,138.0167,-9999,-9999,-9999,15, Low Possibility
558119.811533538624644,-3348169.900145926512778,2015-12-19 06:10:00,-30.6423,137.8867,-9999,-9999,-9999,15, Low Possibility
